DateTime,DateTime,Holiday,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2,Holiday_code,weekday
2011-11-01 00:00:00,2011-11-01 00:00:00,None,0,1,44,1,11,2011,0,6.0,9.3,600.71,356.0,3159.6,54.32,11,1
2011-11-01 00:30:00,2011-11-01 00:30:00,None,0,1,44,1,11,2011,1,6.0,11.1,605.42,317.0,2973.01,54.23,11,1
2011-11-01 01:00:00,2011-11-01 01:00:00,None,0,1,44,1,11,2011,2,5.0,11.1,589.97,311.0,2834.0,54.23,11,1
2011-11-01 01:30:00,2011-11-01 01:30:00,None,0,1,44,1,11,2011,3,6.0,9.3,585.94,313.0,2725.99,53.47,11,1
2011-11-01 02:00:00,2011-11-01 02:00:00,None,0,1,44,1,11,2011,4,6.0,11.1,571.52,346.0,2655.64,39.87,11,1
2011-11-01 02:30:00,2011-11-01 02:30:00,None,0,1,44,1,11,2011,5,5.0,11.1,562.61,342.0,2585.99,39.87,11,1
2011-11-01 03:00:00,2011-11-01 03:00:00,None,0,1,44,1,11,2011,6,5.0,7.4,545.81,336.0,2561.7,39.87,11,1
2011-11-01 03:30:00,2011-11-01 03:30:00,None,0,1,44,1,11,2011,7,5.0,9.3,539.38,338.0,2544.33,39.87,11,1
2011-11-01 04:00:00,2011-11-01 04:00:00,None,0,1,44,1,11,2011,8,4.0,11.1,538.7,347.0,2549.02,39.87,11,1
2011-11-01 04:30:00,2011-11-01 04:30:00,None,0,1,44,1,11,2011,9,4.0,7.4,540.39,338.0,2547.15,39.87,11,1
2011-11-01 05:00:00,2011-11-01 05:00:00,None,0,1,44,1,11,2011,10,4.0,7.4,532.3,372.0,2584.58,39.87,11,1
2011-11-01 05:30:00,2011-11-01 05:30:00,None,0,1,44,1,11,2011,11,5.0,5.6,547.57,361.0,2641.37,39.87,11,1
2011-11-01 06:00:00,2011-11-01 06:00:00,None,0,1,44,1,11,2011,12,5.0,3.7,556.14,383.0,2842.19,51.45,11,1
2011-11-01 06:30:00,2011-11-01 06:30:00,None,0,1,44,1,11,2011,13,5.0,3.7,590.34,358.0,3082.97,51.45,11,1
2011-11-01 07:00:00,2011-11-01 07:00:00,None,0,1,44,1,11,2011,14,4.0,9.3,596.22,402.0,3372.55,52.82,11,1
2011-11-01 07:30:00,2011-11-01 07:30:00,None,0,1,44,1,11,2011,15,5.0,3.7,581.52,368.0,3572.64,53.65,11,1
2011-11-01 08:00:00,2011-11-01 08:00:00,None,0,1,44,1,11,2011,16,5.0,5.6,577.27,361.0,3852.42,54.21,11,1
2011-11-01 08:30:00,2011-11-01 08:30:00,None,0,1,44,1,11,2011,17,6.0,5.6,568.76,340.0,4116.03,58.33,11,1
2011-11-01 09:00:00,2011-11-01 09:00:00,None,0,1,44,1,11,2011,18,8.0,7.4,560.79,358.0,4345.42,58.33,11,1
2011-11-01 09:30:00,2011-11-01 09:30:00,None,0,1,44,1,11,2011,19,9.0,7.4,542.8,339.0,4427.29,58.33,11,1
2011-11-01 10:00:00,2011-11-01 10:00:00,None,0,1,44,1,11,2011,20,9.169020263856396,14.108128001609757,535.37,324.0,4460.41,58.33,11,1
2011-11-01 10:30:00,2011-11-01 10:30:00,None,0,1,44,1,11,2011,21,11.0,13.0,532.52,335.0,4493.22,58.27,11,1
2011-11-01 11:00:00,2011-11-01 11:00:00,None,0,1,44,1,11,2011,22,11.0,22.2,534.34,372.0,4513.02,58.26,11,1
2011-11-01 11:30:00,2011-11-01 11:30:00,None,0,1,44,1,11,2011,23,11.0,18.5,530.08,415.0,4490.71,58.26,11,1
2011-11-01 12:00:00,2011-11-01 12:00:00,None,0,1,44,1,11,2011,24,11.0,22.2,517.55,513.0,4493.73,58.26,11,1
2011-11-01 12:30:00,2011-11-01 12:30:00,None,0,1,44,1,11,2011,25,11.0,20.4,506.83,623.0,4481.31,58.15,11,1
2011-11-01 13:00:00,2011-11-01 13:00:00,None,0,1,44,1,11,2011,26,12.0,20.4,513.98,683.0,4408.46,54.74,11,1
2011-11-01 13:30:00,2011-11-01 13:30:00,None,0,1,44,1,11,2011,27,11.0,24.1,518.96,711.0,4341.14,54.74,11,1
2011-11-01 14:00:00,2011-11-01 14:00:00,None,0,1,44,1,11,2011,28,12.0,22.2,525.69,761.0,4338.35,54.14,11,1
2011-11-01 14:30:00,2011-11-01 14:30:00,None,0,1,44,1,11,2011,29,11.0,25.9,528.47,750.0,4294.17,53.63,11,1
2011-11-01 15:00:00,2011-11-01 15:00:00,None,0,1,44,1,11,2011,30,11.0,22.2,528.17,758.0,4318.87,53.63,11,1
2011-11-01 15:30:00,2011-11-01 15:30:00,None,0,1,44,1,11,2011,31,11.0,24.1,513.22,805.0,4375.62,53.63,11,1
2011-11-01 16:00:00,2011-11-01 16:00:00,None,0,1,44,1,11,2011,32,11.0,27.8,509.16,782.0,4469.73,54.74,11,1
2011-11-01 16:30:00,2011-11-01 16:30:00,None,0,1,44,1,11,2011,33,11.0,27.8,495.57,861.0,4720.21,58.15,11,1
2011-11-01 17:00:00,2011-11-01 17:00:00,None,0,1,44,1,11,2011,34,11.0,31.5,479.82,1014.0,5179.06,130.38,11,1
2011-11-01 17:30:00,2011-11-01 17:30:00,None,0,1,44,1,11,2011,35,11.0,29.6,460.51,1065.0,5372.97,189.73,11,1
2011-11-01 18:00:00,2011-11-01 18:00:00,None,0,1,44,1,11,2011,36,11.0,33.3,450.42,1138.0,5246.99,130.38,11,1
2011-11-01 18:30:00,2011-11-01 18:30:00,None,0,1,44,1,11,2011,37,11.0,35.2,460.87,1191.0,5051.17,58.26,11,1
